db,FoM_CI,FoM_LS,FoM_PMT,total,FoM_tgaps,FoM_EG,FoM_Gal,FoM_depth
u60_v1.5_10yrs,0.6425855513307983,,0.7586727212936232,0.8516198209003928,0.40072047249336706,0.4177436965086412,0.4807042255136467,0.9751224867270016
var_expt_v1.5_10yrs,0.4714828897338402,,0.617215105255783,0.66166017330353,0.5771842778138413,0.4508077743923574,0.49373732928692166,0.8065126491112519
wfd_depth_scale0.65_noddf_v1.5_10yrs,0.4068441064638783,,0.6539045897534074,0.6446738851368162,0.368623540220561,0.26863845164723293,0.24015407933331676,0.9431488106757607
wfd_depth_scale0.65_v1.5_10yrs,0.43346007604562725,,0.6927044299587379,0.6844305818880787,0.35216154370760255,0.21004502781244963,0.22273481054358452,0.9128201402076173
wfd_depth_scale0.70_noddf_v1.5_10yrs,0.42965779467680604,,0.5930991577063724,0.6215842643925269,0.3929920918143576,0.3274725921766831,0.32231879182961404,0.936287463153221
wfd_depth_scale0.70_v1.5_10yrs,0.43346007604562725,,0.7235298221904857,0.703164826334264,0.35024571390257575,0.24182526271414242,0.2724301803798342,0.9134032796035255
wfd_depth_scale0.75_noddf_v1.5_10yrs,0.3726235741444866,,0.5849445255511296,0.5819655016454514,0.4200190366651365,0.4142471079145923,0.4410977942920841,0.9345441645989614
wfd_depth_scale0.75_v1.5_10yrs,0.44106463878326985,,0.6412397248683837,0.6577744205616408,0.3938513435536893,0.299361631534404,0.31596765574273855,0.9130542434791452
wfd_depth_scale0.80_noddf_v1.5_10yrs,0.2965779467680609,,0.7125862687319812,0.6133232290244485,0.4540019070041085,0.5371203330474833,0.5846711094277484,0.9333975083366413
wfd_depth_scale0.80_v1.5_10yrs,0.38783269961977185,,0.5501528684438217,0.5700641466939439,0.414281425379084,0.3628656130121675,0.3886379496930463,0.9134515818987203
wfd_depth_scale0.85_noddf_v1.5_10yrs,0.3840304182509506,,0.6852451178643337,0.649856103153756,0.48567004762840826,0.6943941028583522,0.7068957647604088,0.938970529383744
wfd_depth_scale0.85_v1.5_10yrs,0.46387832699619774,,0.6918011538848061,0.7023684154119773,0.44332772313586016,0.47182920455754757,0.5302294812639965,0.9157850490843656
wfd_depth_scale0.90_noddf_v1.5_10yrs,0.4790874524714828,,0.8950382705194454,0.8351299149987704,0.5110858086594915,0.8087473827345729,0.78178751472488,0.9387815155943104
wfd_depth_scale0.90_v1.5_10yrs,0.6045627376425856,,0.8858782877978841,0.9058209638762414,0.46334286263219054,0.6088577594369878,0.6727833834759388,0.9206111507638524
wfd_depth_scale0.95_noddf_v1.5_10yrs,0.7452471482889733,,0.7544201573884518,0.9114282693077069,0.5304940233594544,0.8925962186566101,0.8614675106351236,0.942230449321231
wfd_depth_scale0.95_v1.5_10yrs,0.6615969581749048,,0.5971398511706348,0.765001882292472,0.48831245956373626,0.752614461170933,0.7603795174995491,0.9210922396328715
wfd_depth_scale0.99_noddf_v1.5_10yrs,0.5779467680608364,,0.6246643985021274,0.7308913183884345,0.5775787900387128,0.9511714670419295,0.8970593090356404,0.9421381258724424
wfd_depth_scale0.99_v1.5_10yrs,0.6387832699619771,,0.62422323956109,0.7675968081327128,0.5337340839868917,0.8502283745329127,0.8523337523449322,0.9208757334538844
