uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy,db
66990096,65081160,21115620,27215172,0,1697940,76876668,45963540,55603152,43384896,27122148,79444836,33997716,50727960,35941500,79012656,20621376,24662772,79431444,30661092,78233832,twilight_neo_mod1_v1.5_10yrs.db
64830744,67422168,30645000,32634684,0,241740,75250476,52698708,55532304,35948520,20939544,77680116,49064508,54333792,30940956,78135768,31070412,44429652,77119596,43447896,76870368,twilight_neo_mod2_v1.5_10yrs.db
66000816,66424140,33649020,38827800,0,92016,73201680,52583004,54884088,38134296,19357308,75805524,50731416,56037204,28319364,76719528,37492308,42008436,75217392,43723260,75087108,twilight_neo_mod3_v1.5_10yrs.db
60890904,64132596,39880836,39817188,0,191772,68836248,49531248,52387200,36344016,19311912,74021076,53124480,49782708,35668404,74513016,40334328,43067844,74510676,42461208,71932464,twilight_neo_mod4_v1.5_10yrs.db
0,1566828,159804,2785464,0,29124,32434560,60875136,44945820,44687808,27232992,27669276,44341416,45642672,29930580,30419784,42934068,41882688,33233004,42878880,35419320,u60_v1.5_10yrs.db
36185400,32451912,56907540,56259216,0,846360,31272120,37130940,53217900,48848148,18093780,14089104,42631416,26216892,44200224,18546840,1488996,33377652,9788112,30406428,15039936,var_expt_v1.5_10yrs.db
5898816,23612040,25059672,22871520,0,1422288,3058596,19301004,27403992,19415628,5027436,0,18828324,40715100,19582272,0,13503456,20483928,0,18082728,787644,wfd_depth_scale0.65_noddf_v1.5_10yrs.db
2536596,18248976,20526048,15091812,0,2670264,831384,9869004,22009464,33296184,10390320,0,9731196,37134072,19617480,0,8595936,17170632,0,10927728,38484,wfd_depth_scale0.65_v1.5_10yrs.db
14672664,29065212,27797436,27159840,0,529596,8732484,23375304,35888256,30261348,14430456,1657296,23103756,40954860,28148940,1896012,23401512,27542988,473400,28461492,2185380,wfd_depth_scale0.70_noddf_v1.5_10yrs.db
6783876,26688600,21107124,16719264,0,4306752,2151360,16378452,29634408,27499932,13276800,0,15036408,33080148,16432020,0,20856312,23539176,0,13867920,1581372,wfd_depth_scale0.70_v1.5_10yrs.db
22010184,32417640,32984964,32583528,0,1966356,20190060,33941340,43909308,38689488,14134248,7783596,38318616,45650628,26125848,5401908,34839900,42538248,10365516,36912096,12442500,wfd_depth_scale0.75_noddf_v1.5_10yrs.db
14215212,26053668,24662520,23515056,0,4555116,7458768,22902768,29588040,29268396,14363568,1465200,23813964,35402292,14313060,150084,24848424,23720652,1957104,18659196,4857156,wfd_depth_scale0.75_v1.5_10yrs.db
49221504,42823224,45642492,34809408,0,2544444,41513256,47480688,49339080,42088032,17350560,28434708,44678052,46651248,21291552,27741420,41706720,42121872,27347688,44394264,30209328,wfd_depth_scale0.80_noddf_v1.5_10yrs.db
30197268,37462392,32101992,29648052,0,356796,22375116,28889640,33789708,29223108,11243196,6359472,31189536,40106916,23291928,8194716,34629516,37976184,8138412,33861564,11098440,wfd_depth_scale0.80_v1.5_10yrs.db
58171788,48387168,51942888,46154808,0,218052,62183484,55689840,53543484,40647960,16737228,53341704,55776528,46702008,27764100,54429048,46551060,43700832,53613756,50944212,52563492,wfd_depth_scale0.85_noddf_v1.5_10yrs.db
45176508,43556976,36468540,34996644,0,225612,36206028,40952232,43986564,29970828,17674488,23767092,48722508,41747292,31899276,25082712,39904992,37863360,26011728,42250104,30880044,wfd_depth_scale0.85_v1.5_10yrs.db
64656936,55923516,52378668,46616148,0,87228,68358312,61741872,50296860,33259356,15356232,69550632,61447968,47143692,36912996,66825828,51446988,52014672,67204764,56247156,65520864,wfd_depth_scale0.90_noddf_v1.5_10yrs.db
54801936,50452920,46639188,45985932,0,92844,51615576,49474188,47533644,40236948,18011484,49574412,53901144,45634788,29318832,50271552,44283384,44487684,49085784,51045480,48055464,wfd_depth_scale0.90_v1.5_10yrs.db
68812776,58430880,61167636,48561120,0,643212,73741536,67270824,64503036,33089436,13869828,76865040,70337592,59721804,26486460,75555288,60765372,59244876,74053584,63573804,72361296,wfd_depth_scale0.95_noddf_v1.5_10yrs.db
56094804,45495072,54956772,50047452,0,94500,64119672,58406832,54043740,39576348,14423544,68926716,60078960,51853212,18273168,66318624,56966976,52699248,67001724,54785484,61642692,wfd_depth_scale0.95_v1.5_10yrs.db
71014644,63703188,67679928,62976564,0,314712,75225420,72666612,64120572,37960812,12669192,75479724,71953056,54612360,30263328,77358528,65876616,58630392,76765824,63842760,76640724,wfd_depth_scale0.99_noddf_v1.5_10yrs.db
60869412,52211556,58164516,56451024,0,155736,70284060,66410136,60055272,47566152,19011132,74513952,67389624,55321092,24191064,72354600,60627492,57048732,75310812,61008192,71656380,wfd_depth_scale0.99_v1.5_10yrs.db
